[2026-01-17 15:07:56 INF] [] Configuring services
[2026-01-17 15:07:56 INF] [] Registering type Mud.Blueprints.Quest.QuestKillLootTable`1.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Blueprints.LootTable.CharacterLootTable`1.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Blueprints.LootTable.TreasureTable`1.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Random.RandomManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Importer.Mystery.MysteryImporter.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Importer.Mystery.MysteryLoader.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Importer.Rom.RomImporter.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Importer.Rom.RomLoader.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Importer.Rot.RotImporter.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Importer.Rot.RotLoader.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Network.Telnet.TelnetServer.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Repository.Filesystem.Json.AccountRepository.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Repository.Filesystem.Json.AvatarRepository.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Social.SocialManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Server.LoginStateMachine.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Server.PulseManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Server.ResetManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Server.Server.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Server.TimeManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Server.UniquenessManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Server.Wiznet.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Server.WorldSanityCheck.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Room.Room.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Room.RoomManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Player.Player.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Loot.ItemGenerator.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Loot.LootManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemArmor.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemBoat.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemClothing.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemContainer.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemCorpse.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemDrinkContainer.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemFood.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemFountain.
